borough,BBL,energy_star_core,EUI,emission_ton,emission_intensity_kg/ft2,square,standard,penalty
MANHATTAN,1005620040,24.0,124.4,363.7,9.3,39107.5,0.00675,26726.1
MANHATTAN,1008927501,54.0,108.5,406.4,8.1,50172.8,0.00675,18152.6
MANHATTAN,1014830038,5.0,152.1,1500.4,8.7,172459.8,0.00675,90127.4
MANHATTAN,1-01139-7503,1.0,117.7,5009.4,7.7,650571.4,0.00675,165635.5
MANHATTAN,1006187504,1.0,100.1,558.8,7.0,79828.6,0.00675,5348.5
MANHATTAN,1-02202-0009,28.0,95.0,587.4,7.0,83914.3,0.00675,5622.2
MANHATTAN,1-01425-0001,1.0,1638.1,25320.3,95.2,265969.5,0.00675,6304701.6
,4157800100,1.0,321.4,4351.2,17.5,248640.0,0.00675,716331.8
,4157800020,4.0,163.1,4581.2,9.0,509022.2,0.00675,306940.4
,4158100001,1.0,297.3,4272.2,16.1,265354.0,0.00675,664924.2
,4158150220,1.0,238.1,4419.0,13.0,339923.1,0.00675,569371.1
,4158100071,1.0,539.8,4163.9,29.0,143582.8,0.00675,856183.9
BRONX,2-03154-0040,23.0,119.9,455.5,8.9,51179.8,0.00675,29489.7
MANHATTAN,1-01379-7504,,129.4,587.9,9.4,62542.6,0.00675,44417.6
BRONX,2-03311-7501,,109.2,1184.9,8.3,142759.0,0.00675,59302.2
MANHATTAN,1-02250-0054,1.0,197.2,810.0,14.6,55479.5,0.00675,116717.6
MANHATTAN,1-00775-0022,53.0,93.6,441.0,7.0,63000.0,0.00675,4221.0
MANHATTAN,1022220035,33.0,91.5,720.7,6.8,105985.3,0.00675,1420.2
BRONX,2-03933-0070,34.0,126.5,452.9,9.5,47673.7,0.00675,35135.5
QUEENS,4084890001,,140.8,20637.6,7.5,2751680.0,0.00675,553087.7
MANHATTAN,1011137502,24.0,99.6,4327.0,7.0,618142.9,0.00675,41415.5
MANHATTAN,1-01164-0047,17.0,147.0,933.8,8.5,109858.8,0.00675,51523.8
,3-05979-0046,30.0,126.8,357.9,7.1,50408.5,0.00675,4728.2
MANHATTAN,1014370001,3.0,113.3,836.8,7.4,113081.1,0.00675,19698.7
QUEENS,4066780001,1.0,172.5,461.6,10.0,46160.0,0.00675,40205.4
QUEENS,4071170003,1.0,224.0,15169.9,12.3,1233325.2,0.00675,1834447.9
QUEENS,4071170006,4.0,150.4,3386.8,8.2,413024.4,0.00675,160501.3
MANHATTAN,1021750027,7.0,120.7,467.1,6.9,67695.7,0.00675,2721.3
QUEENS,4003420024,20.0,99.6,445.8,7.3,61068.5,0.00675,9001.5
BRONX,2028540056,10.0,127.1,412.5,7.2,57291.7,0.00675,6909.3
BRONX,2-03292-0062,66.0,93.8,474.0,7.1,66760.6,0.00675,6262.1
MANHATTAN,1013680005,17.0,112.9,1080.0,7.7,140259.7,0.00675,35710.2
MANHATTAN,1015270028,24.0,107.6,1530.5,8.1,188950.6,0.00675,68362.4
MANHATTAN,1005720038,50.0,91.2,913.1,6.9,132333.3,0.00675,5319.9
MANHATTAN,1015340012,59.0,103.2,951.4,7.7,123558.4,0.00675,31458.1
MANHATTAN,1018750036,8.0,127.4,549.2,9.3,59053.8,0.00675,40357.3
MANHATTAN,1008910039,23.0,126.2,924.6,9.6,96312.5,0.00675,73563.5
MANHATTAN,1010290036,17.0,112.6,780.4,8.3,94024.1,0.00675,39057.6
MANHATTAN,1008160042,22.0,117.5,1423.1,8.9,159898.9,0.00675,92133.7
MANHATTAN,1013000050,36.0,110.9,1102.9,8.4,131297.6,0.00675,58059.8
MANHATTAN,1015680001,7.0,130.1,2195.1,9.6,228656.2,0.00675,174647.7
BRONX,2-05481-0048,35.0,102.7,441.1,7.7,57285.7,0.00675,14585.0
MANHATTAN,1-00913-0028,3.0,151.5,1288.8,8.8,146454.5,0.00675,80462.2
MANHATTAN,1-01397-7505,1.0,111.5,1503.2,7.9,190278.5,0.00675,58643.8
MANHATTAN,1-00890-0005,47.0,104.8,588.2,7.9,74455.7,0.00675,22947.2
MANHATTAN,1-00052-0021,53.0,91.8,401.8,6.9,58231.9,0.00675,2340.9
MANHATTAN,1-02179-0099,46.0,94.2,380.7,7.1,53619.7,0.00675,5029.6
QUEENS,4-02474-0022,33.0,108.4,580.6,8.3,69951.8,0.00675,29058.0
QUEENS,4-05025-0050,37.0,110.6,1490.0,8.2,181707.3,0.00675,70611.5
STATEN IS,5-00590-0001,9.0,145.8,2251.7,11.1,202855.9,0.00675,236489.3
MANHATTAN,1-01400-0001,,110.5,786.7,7.0,112385.7,0.00675,7529.9
MANHATTAN,1-01514-0069,44.0,101.7,598.8,7.7,77766.2,0.00675,19799.3
MANHATTAN,1-01718-0037,10.0,134.9,626.0,7.7,81298.7,0.00675,20698.7
MANHATTAN,1-02087-0015,42.0,126.0,468.9,7.1,66042.3,0.00675,6194.7
MANHATTAN,1-02134-7504,21.0,115.1,617.0,8.7,70919.5,0.00675,37062.6
MANHATTAN,1-02168-0001,10.0,137.3,576.0,7.7,74805.2,0.00675,19045.4
BRONX,2-03281-0040,68.0,99.6,486.9,7.5,64920.0,0.00675,13048.9
MANHATTAN,1020530033,39.0,137.1,428.2,7.8,54897.4,0.00675,15448.2
BRONX,2025060016,13.0,126.4,385.1,7.2,53486.1,0.00675,6450.4
BRONX,2-03256-0053,16.0,134.6,417.6,7.8,53538.5,0.00675,15065.7
BROOKLYN,3-05124-0026,23.0,122.1,436.9,6.9,63318.8,0.00675,2545.5
BROOKLYN,3-07159-0146,15.0,120.1,661.8,6.8,97323.5,0.00675,1304.2
MANHATTAN,1-01370-0015,1.0,160.5,8764.6,9.6,912979.2,0.00675,697333.4
MANHATTAN,1-01869-7502,60.0,101.1,584.2,7.6,76868.4,0.00675,17510.7
,2030220001,10.0,121.2,474.6,7.1,66845.1,0.00675,6270.0
MANHATTAN,1-01039-0032,16.0,129.5,1039.6,9.0,115511.1,0.00675,69653.2
MANHATTAN,1-02179-0100,30.0,119.6,474.3,8.9,53292.1,0.00675,30707.0
MANHATTAN,1-02176-0115,9.0,135.0,396.6,7.9,50202.5,0.00675,15472.5
BRONX,2028300001,4.0,141.2,457.9,8.3,55168.7,0.00675,22917.0
,2057050036,10.0,121.7,384.3,7.2,53375.0,0.00675,6437.0
BRONX,2033280064,17.0,110.8,481.4,8.0,60175.0,0.00675,20158.6
MANHATTAN,1021310044,43.0,112.6,544.2,8.4,64785.7,0.00675,28648.3
MANHATTAN,1-01183-0029,61.0,99.9,852.1,7.5,113613.3,0.00675,22836.3
,1-00142-0025,2.0,118.6,7758.4,7.0,1108342.9,0.00675,74258.9
MANHATTAN,1-02144-0061,9.0,133.2,589.3,7.8,75551.3,0.00675,21260.1
MANHATTAN,1-02176-0138,11.0,138.3,584.9,8.0,73112.5,0.00675,24492.7
MANHATTAN,1-02217-0001,4.0,123.9,514.1,7.3,70424.7,0.00675,10380.5
MANHATTAN,1-02176-0074,2.0,184.6,820.9,10.9,75311.9,0.00675,83762.0
MANHATTAN,1-02246-0125,46.0,90.2,581.6,6.8,85529.4,0.00675,1146.1
MANHATTAN,1-00469-0030,12.0,133.5,578.2,9.0,64244.4,0.00675,38739.5
,3-01010-0026,13.0,130.1,1222.6,7.4,165216.2,0.00675,28780.7
BROOKLYN,3-01189-0060,8.0,130.5,2411.4,7.5,321520.0,0.00675,64625.5
QUEENS,4-01451-0001,40.0,120.8,691.2,9.2,75130.4,0.00675,49330.7
MANHATTAN,1-00790-0028,6.0,139.8,571.9,9.6,59572.9,0.00675,45501.8
QUEENS,4051867501,3.0,154.2,629.9,11.6,54301.7,0.00675,70581.4
MANHATTAN,1-00791-0036,32.0,100.0,1268.0,7.6,166842.1,0.00675,38006.6
MANHATTAN,1-01511-7502,29.0,93.7,386.1,7.1,54380.3,0.00675,5100.8
MANHATTAN,1-01491-0007,,115.2,231.8,7.0,33114.3,0.00675,2218.6
MANHATTAN,1-01348-0016,53.0,91.5,691.2,6.8,101647.1,0.00675,1362.0
BRONX,2-04322-0051,43.0,99.8,505.0,7.4,68243.2,0.00675,11888.1
BRONX,2-03567-0001,13.0,126.3,4300.1,7.2,597236.1,0.00675,72026.7
MANHATTAN,1-01490-0028,27.0,118.6,411.8,7.2,57194.4,0.00675,6897.7
MANHATTAN,1-02053-0001,37.0,111.0,1893.4,8.4,225404.8,0.00675,99673.9
MANHATTAN,1-01490-0001,26.0,129.1,810.9,7.7,105311.7,0.00675,26812.3
BROOKLYN,3-02095-7502,1.0,224.7,1599.9,12.7,125976.4,0.00675,200881.9
MANHATTAN,1011177502,1.0,124.5,917.6,8.7,105471.3,0.00675,55119.2
MANHATTAN,1010087501,,128.4,797.5,7.5,106333.3,0.00675,21373.1
MANHATTAN,1014020033,11.0,97.9,746.2,6.8,109735.3,0.00675,1470.4
MANHATTAN,1015100072,63.0,90.3,507.5,6.9,73550.7,0.00675,2956.8
MANHATTAN,1-00637-7507,,137.7,285.7,8.7,32839.1,0.00675,17161.7
MANHATTAN,1008427502,4.0,110.7,819.9,7.3,112315.1,0.00675,16555.2
MANHATTAN,1-01465-0001,1.0,836.5,18095.9,50.6,357626.5,0.00675,4202754.9
MANHATTAN,1011147503,2.0,96.3,5774.1,7.0,824871.4,0.00675,55266.4
MANHATTAN,1015010001,8.0,102.7,780.0,7.1,109859.2,0.00675,10304.7
MANHATTAN,1-01033-0001,3.0,148.6,2114.1,8.6,245825.6,0.00675,121880.3
MANHATTAN,1-01151-7501,32.0,96.4,2742.2,7.3,375643.8,0.00675,55370.0
MANHATTAN,1-01336-0040,71.0,92.1,1458.8,7.0,208400.0,0.00675,13962.8
MANHATTAN,1-01337-0006,69.0,99.2,1456.1,7.5,194146.7,0.00675,39023.4
QUEENS,4-02093-0001,5.0,217.4,2911.3,12.6,231055.6,0.00675,362248.8
MANHATTAN,1-01516-0001,28.0,93.3,858.8,7.0,122685.7,0.00675,8220.0
QUEENS,4-03907-0975,33.0,121.5,1650.2,6.9,239159.4,0.00675,9614.2
MANHATTAN,1-01427-0001,7.0,115.7,1477.3,7.2,205180.6,0.00675,24744.7
BROOKLYN,3061140001,12.0,130.9,391.3,7.5,52173.3,0.00675,10486.9
MANHATTAN,1-02077-0001,8.0,126.8,587.3,9.5,61821.1,0.00675,45562.0
MANHATTAN,1-01388-0033,,109.8,758.0,7.9,95949.4,0.00675,29571.5
MANHATTAN,1-01274-7504,2.0,94.0,5301.1,6.8,779573.5,0.00675,10446.3
MANHATTAN,1-01115-7502,2.0,137.0,2970.2,9.5,312652.6,0.00675,230425.0
QUEENS,4-05192-0055,44.0,109.8,1098.2,8.2,133926.8,0.00675,52044.0
MANHATTAN,1-00244-0019,20.0,107.1,990.0,7.3,135616.4,0.00675,19989.9
MANHATTAN,1-00259-0071,13.0,110.1,1020.0,7.5,136000.0,0.00675,27336.0
MANHATTAN,1-00243-0056,20.0,107.0,1976.4,7.3,270739.7,0.00675,39907.1
MANHATTAN,1-00259-0001,20.0,107.1,990.0,7.3,135616.4,0.00675,19989.9
MANHATTAN,1-00267-0001,15.0,105.8,1020.0,7.2,141666.7,0.00675,17084.9
QUEENS,4-03257-7501,4.0,119.7,869.9,7.4,117554.1,0.00675,20477.8
MANHATTAN,1-00100-7501,1.0,127.9,1369.5,9.0,152166.7,0.00675,91756.4
MANHATTAN,1-01370-0038,21.0,98.8,872.5,6.8,128308.8,0.00675,1719.4
MANHATTAN,1015600001,15.0,125.2,2080.2,7.3,284958.9,0.00675,42002.9
QUEENS,4-02167-0001,8.0,139.6,629.5,8.1,77716.0,0.00675,28117.8
BROOKLYN,3-00207-7501,1.0,216.2,658.3,12.6,52246.0,0.00675,81911.4
BROOKLYN,3-00207-7502,1.0,197.8,607.7,11.2,54258.9,0.00675,64709.2
BROOKLYN,3-04271-9001,12.0,133.3,10201.2,7.5,1360160.0,0.00675,273392.2
MANHATTAN,1-00889-0015,62.0,96.2,1061.5,7.1,149507.0,0.00675,14023.8
BROOKLYN,3-04271-0005,8.0,133.5,2540.2,7.6,334236.8,0.00675,76139.2
QUEENS,4-06670-0001,25.0,131.4,845.7,7.3,115849.3,0.00675,17076.2
MANHATTAN,1-01344-7501,67.0,101.9,386.0,7.7,50129.9,0.00675,12763.0
MANHATTAN,1-01331-0017,17.0,115.3,405.8,8.1,50098.8,0.00675,18125.7
BROOKLYN,3-07068-0030,1.0,159.6,1010.0,11.2,90178.6,0.00675,107546.9
,2-03251-0490,7.0,145.2,8050.9,8.2,981817.1,0.00675,381534.1
QUEENS,4021330036,18.0,138.2,2093.8,7.7,271922.1,0.00675,69231.3
MANHATTAN,1-00028-7501,5.0,112.3,698.3,7.5,93106.7,0.00675,18714.4
MANHATTAN,1-01566-0001,4.0,145.5,1601.6,8.7,184092.0,0.00675,96206.4
MANHATTAN,1-00695-7506,,110.6,415.8,7.3,56958.9,0.00675,8395.7
QUEENS,4-00577-7501,58.0,95.6,690.6,6.9,100087.0,0.00675,4023.4
QUEENS,4-00872-0068,10.0,147.0,730.9,11.1,65846.8,0.00675,76764.3
MANHATTAN,1-01456-0026,14.0,121.1,977.8,6.9,141710.1,0.00675,5696.8
QUEENS,4-05137-7502,10.0,148.7,875.0,11.0,79545.5,0.00675,90602.2
QUEENS,4-01312-0043,20.0,127.8,549.0,7.2,76250.0,0.00675,9195.8
MANHATTAN,1-01310-7502,38.0,91.7,1082.6,6.9,156898.6,0.00675,6307.2
QUEENS,4-02239-7501,20.0,120.5,1378.5,6.8,202720.6,0.00675,2716.4
MANHATTAN,1-01210-7502,6.0,136.9,587.5,8.2,71646.3,0.00675,27841.8
MANHATTAN,1-01412-0001,56.0,90.8,363.5,6.9,52681.2,0.00675,2117.7
MANHATTAN,1012050029,29.0,96.4,904.8,8.2,110341.5,0.00675,42878.6
MANHATTAN,1-01413-0045,40.0,107.9,452.4,8.2,55170.7,0.00675,21439.4
MANHATTAN,1-01336-0015,60.0,95.3,1061.8,7.1,149549.3,0.00675,14027.7
MANHATTAN,1-00573-0043,63.0,90.6,1929.0,6.8,283676.5,0.00675,3801.2
MANHATTAN,1021710001,9.0,155.6,1263.7,10.4,121509.6,0.00675,118860.7
MANHATTAN,1021610033,19.0,121.5,480.4,7.2,66722.2,0.00675,8046.7
MANHATTAN,1010060063,22.0,101.9,724.2,7.3,99205.5,0.00675,14622.9
MANHATTAN,1021420100,2.0,137.0,509.8,7.9,64531.6,0.00675,19888.7
MANHATTAN,1021770150,47.0,103.5,396.1,7.8,50782.1,0.00675,14290.0
MANHATTAN,1021770105,22.0,110.4,471.6,8.0,58950.0,0.00675,19748.2
MANHATTAN,1021790093,19.0,118.2,626.9,8.9,70438.2,0.00675,40586.5
MANHATTAN,1021790093,19.0,118.2,626.9,8.9,70438.2,0.00675,40586.5
,4-11459-0001,4.0,137.1,899.3,7.9,113835.4,0.00675,35084.2
MANHATTAN,1-01787-0080,1.0,583.2,9255.0,34.5,268260.9,0.00675,1995056.0
MANHATTAN,1018390029,23.0,91.9,807.3,7.0,115328.6,0.00675,7727.0
BROOKLYN,3-07449-0025,31.0,129.4,532.1,6.9,77115.9,0.00675,3100.1
QUEENS,4-08743-0102,18.0,131.5,828.2,8.8,94113.6,0.00675,51706.1
QUEENS,4-08762-0001,30.0,129.3,715.3,9.0,79477.8,0.00675,47925.1
MANHATTAN,1-01026-7502,8.0,139.9,1463.4,8.2,178463.4,0.00675,69350.9
MANHATTAN,1-01345-7501,1.0,127.6,1387.7,8.0,173462.5,0.00675,58109.9
QUEENS,4-02117-0001,1.0,263.6,591.5,14.0,42250.0,0.00675,82091.8
MANHATTAN,1012330016,28.0,97.9,1821.9,7.0,260271.4,0.00675,17438.2
MANHATTAN,1006070038,34.0,105.4,540.4,8.0,67550.0,0.00675,22629.2
QUEENS,4-02093-0245,24.0,158.5,2112.5,9.1,232142.9,0.00675,146203.5
BRONX,2048210045,1.0,314.0,1001.4,17.1,58561.4,0.00675,162437.6
MANHATTAN,1-01363-0043,3.0,159.5,1514.2,8.5,178141.2,0.00675,83548.2
QUEENS,4-04285-0010,19.0,129.3,4852.5,9.7,500257.7,0.00675,395503.8
MANHATTAN,1-00850-7503,45.0,96.1,1874.4,7.1,264000.0,0.00675,24763.2
MANHATTAN,1-01045-0029,10.0,98.2,2351.4,6.9,340782.6,0.00675,13699.5
MANHATTAN,1-01446-0023,16.0,111.1,4254.3,7.1,599197.2,0.00675,56204.7
MANHATTAN,1-02009-0029,1.0,176.8,726.5,11.1,65450.5,0.00675,76302.0
QUEENS,4022230038,8.0,125.0,818.2,7.1,115239.4,0.00675,10809.5
QUEENS,4015040001,34.0,120.6,531.6,7.0,75942.9,0.00675,5088.1
QUEENS,4-08892-0050,16.0,126.6,403.2,7.1,56788.7,0.00675,5326.8
MANHATTAN,1021790070,43.0,97.9,401.6,7.4,54270.3,0.00675,9453.8
MANHATTAN,1021790070,43.0,97.9,401.6,7.4,54270.3,0.00675,9453.8
BRONX,2024560065,28.0,122.7,489.8,7.0,69971.4,0.00675,4688.1
MANHATTAN,1021320032,28.0,125.3,200.8,7.1,28281.7,0.00675,2652.8
MANHATTAN,1-02126-0001,6.0,128.6,644.3,7.7,83675.3,0.00675,21303.8
BRONX,2-03319-0029,7.0,139.8,651.8,10.3,63281.6,0.00675,60206.0
MANHATTAN,1-00890-7501,,139.8,2728.8,8.1,336888.9,0.00675,121886.4
MANHATTAN,1-02002-0050,23.0,136.3,483.2,8.1,59654.3,0.00675,21583.0
MANHATTAN,1-02137-0110,8.0,120.8,425.3,7.3,58260.3,0.00675,8587.5
BRONX,2-03398-0097,42.0,112.5,483.9,8.3,58301.2,0.00675,24218.3
BRONX,2-03258-0013,46.0,98.7,628.4,7.4,84918.9,0.00675,14792.9
QUEENS,4005440019,6.0,135.5,451.6,7.9,57164.6,0.00675,17618.0
MANHATTAN,1020950033,24.0,144.2,587.7,10.4,56509.6,0.00675,55277.7
QUEENS,4-15771-0011,20.0,122.0,307.9,6.9,44623.2,0.00675,1793.8
MANHATTAN,1021220001,2.0,139.6,474.0,8.5,55764.7,0.00675,26153.7
MANHATTAN,1021220153,2.0,158.6,494.9,9.3,53215.1,0.00675,36367.1
QUEENS,4098300001,11.0,150.5,429.2,8.5,50494.1,0.00675,23681.8
QUEENS,4-09692-0072,15.0,123.1,470.5,7.1,66267.6,0.00675,6215.9
BROOKLYN,3038860001,12.0,132.4,386.3,7.5,51506.7,0.00675,10352.8
BRONX,2-03209-0009,4.0,146.8,582.2,10.9,53412.8,0.00675,59405.8
BRONX,2-03098-0001,26.0,118.3,418.2,6.9,60608.7,0.00675,2436.5
MANHATTAN,1-02222-0017,4.0,137.2,597.4,8.2,72853.7,0.00675,28310.9
BRONX,2-03293-0135,24.0,118.7,499.0,7.8,63974.4,0.00675,18002.3
QUEENS,4-09823-0009,22.0,134.7,312.4,7.7,40571.4,0.00675,10329.5
BRONX,2031250001,16.0,134.9,564.6,7.6,74289.5,0.00675,16923.1
MANHATTAN,1009340015,54.0,95.8,1192.6,7.2,165638.9,0.00675,19976.0
MANHATTAN,1016130006,25.0,114.7,2088.7,8.5,245729.4,0.00675,115247.1
MANHATTAN,1018630029,1.0,115.9,469.2,6.9,68000.0,0.00675,2733.6
QUEENS,4-05043-7501,3.0,141.6,809.6,8.3,97542.2,0.00675,40519.0
BRONX,2-02504-0075,48.0,105.4,558.5,7.9,70696.2,0.00675,21788.6
BRONX,2-03156-0039,18.0,137.6,609.3,10.3,59155.3,0.00675,56280.5
BRONX,2-03296-0050,48.0,103.7,571.9,7.7,74272.7,0.00675,18909.9
MANHATTAN,1-02179-0185,16.0,136.1,703.5,10.2,68970.6,0.00675,63770.2
MANHATTAN,1-02243-0090,69.0,92.1,794.7,6.9,115173.9,0.00675,4630.0
BROOKLYN,3086610001,14.0,124.9,370.1,7.2,51402.8,0.00675,6199.1
BROOKLYN,3086610001,14.0,124.9,370.1,7.2,51402.8,0.00675,6199.1
MANHATTAN,1019880074,23.0,119.2,464.4,7.1,65408.5,0.00675,6135.2
MANHATTAN,1-02139-0204,56.0,91.9,246.2,6.9,35681.2,0.00675,1434.3
MANHATTAN,1-02117-0061,74.0,95.3,351.0,7.1,49436.6,0.00675,4637.2
MANHATTAN,1-02134-0090,47.0,110.6,563.4,8.2,68707.3,0.00675,26699.7
MANHATTAN,1-02169-0053,,178.4,795.1,12.6,63103.2,0.00675,98933.1
MANHATTAN,1-02087-0041,,94.2,457.6,7.0,65371.4,0.00675,4379.9
MANHATTAN,1-02224-0025,53.0,92.5,308.6,6.9,44724.6,0.00675,1798.0
MANHATTAN,1-02088-0106,,95.3,350.3,7.1,49338.0,0.00675,4628.0
MANHATTAN,1-02142-0095,67.0,95.0,213.6,7.0,30514.3,0.00675,2044.4
BROOKLYN,3-06380-0006,24.0,111.0,475.8,8.2,58024.4,0.00675,22548.3
QUEENS,4-02139-0007,27.0,108.5,939.0,8.0,117375.0,0.00675,39320.6
BROOKLYN,3-03737-0001,17.0,125.7,1203.5,7.3,164863.0,0.00675,24300.8
,3-03628-0001,4.0,193.5,2712.2,11.0,246563.6,0.00675,280836.0
,4-04410-0056,23.0,114.1,1374.6,8.5,161717.6,0.00675,75845.7
QUEENS,4003420018,21.0,116.9,608.1,8.6,70709.3,0.00675,35057.7
BRONX,2-05909-0977,1.0,196.5,1955.2,10.8,181037.0,0.00675,196497.7
QUEENS,4015810014,5.0,152.3,555.5,8.6,64593.0,0.00675,32025.3
BRONX,2039820001,3.0,126.5,854.5,7.2,118680.6,0.00675,14312.8
QUEENS,4-00587-0034,5.0,96.1,445.6,6.9,64579.7,0.00675,2596.1
QUEENS,4-00638-0031,14.0,102.8,443.2,7.6,58315.8,0.00675,13284.3
BRONX,2-03332-0042,14.0,125.8,610.2,9.4,64914.9,0.00675,46102.5
QUEENS,4-00137-0004,54.0,93.3,650.5,7.0,92928.6,0.00675,6226.2
QUEENS,4-07656-0002,3.0,155.6,959.5,8.9,107809.0,0.00675,62119.5
QUEENS,4-07668-0010,12.0,137.1,937.5,7.8,120192.3,0.00675,33822.1
QUEENS,4-07670-0002,7.0,147.1,1225.3,8.3,147626.5,0.00675,61324.1
MANHATTAN,1-01450-0001,4.0,108.4,987.4,7.7,128233.8,0.00675,32648.3
,1014590030,1.0,308.2,2438.4,16.7,146012.0,0.00675,389355.5
QUEENS,4-00141-0027,27.0,119.8,392.7,6.8,57750.0,0.00675,773.8
QUEENS,4-00141-0027,27.0,119.8,392.7,6.8,57750.0,0.00675,773.8
QUEENS,4-00140-0025,21.0,129.1,392.0,7.3,53698.6,0.00675,7915.2
QUEENS,4-00140-0025,21.0,129.1,392.0,7.3,53698.6,0.00675,7915.2
MANHATTAN,1-01433-0034,22.0,106.1,638.5,7.2,88680.6,0.00675,10694.8
MANHATTAN,1-00928-0040,19.0,97.0,1046.8,6.8,153941.2,0.00675,2062.8
MANHATTAN,1-02149-0007,44.0,105.2,401.3,7.4,54229.7,0.00675,9446.9
QUEENS,4-02117-0001,1.0,306.5,699.0,16.5,42363.6,0.00675,110696.2
MANHATTAN,1-01318-0022,17.0,103.0,1733.5,7.7,225129.9,0.00675,57318.0
MANHATTAN,1-01417-0028,53.0,90.3,1414.2,6.8,207970.6,0.00675,2786.8
BRONX,2-04430-0028,88.0,96.9,508.1,7.2,70569.4,0.00675,8510.8
QUEENS,4-09302-0028,20.0,121.6,368.0,6.9,53333.3,0.00675,2144.1
MANHATTAN,1-01233-0011,24.0,118.0,1017.2,7.6,133842.1,0.00675,30489.2
MANHATTAN,1-02137-0190,,132.3,539.5,8.0,67437.5,0.00675,22591.6
QUEENS,4-05002-0042,50.0,103.4,989.2,7.7,128467.5,0.00675,32707.9
BRONX,2-05713-0107,26.0,109.9,1088.6,8.1,134395.1,0.00675,48624.1
BRONX,2-05777-0772,42.0,103.5,1323.3,7.8,169653.8,0.00675,47740.7
MANHATTAN,1-00431-0001,1.0,369.5,4295.2,20.0,214760.0,0.00675,762612.8
QUEENS,4-11466-0001,1.0,112.8,583.2,6.8,85764.7,0.00675,1149.3
BROOKLYN,3-08720-7501,1.0,179.9,1609.5,10.0,160950.0,0.00675,140187.4
QUEENS,4-07739-0003,6.0,148.7,1274.6,8.4,151738.1,0.00675,67098.6
QUEENS,4-07742-0003,6.0,148.4,1849.4,8.3,222819.3,0.00675,92559.1
QUEENS,4-07755-0003,1.0,167.0,1176.3,9.4,125138.3,0.00675,88873.2
QUEENS,4-07754-0003,9.0,141.2,1875.6,8.0,234450.0,0.00675,78540.8
MANHATTAN,1-00018-7501,15.0,109.4,2493.9,6.8,366750.0,0.00675,4914.5
MANHATTAN,1-01162-0029,12.0,132.6,2998.4,8.3,361253.0,0.00675,150064.5
MANHATTAN,1-01515-7502,,109.3,2814.5,7.9,356265.8,0.00675,109801.2
MANHATTAN,1014070020,,95.6,470.5,7.3,64452.1,0.00675,9500.2
MANHATTAN,1014927501,3.0,110.0,487.0,8.1,60123.5,0.00675,21752.6
MANHATTAN,1-00773-0134,46.0,113.8,536.7,7.1,75591.5,0.00675,7090.6
MANHATTAN,1-00857-0066,1.0,209.8,2796.0,13.9,201151.1,0.00675,385445.7
MANHATTAN,1-01015-0001,71.0,118.8,1617.9,7.2,224708.3,0.00675,27099.9
QUEENS,4-01457-0034,8.0,122.5,847.9,7.1,119422.5,0.00675,11201.9
MANHATTAN,1-01461-0021,3.0,96.6,2107.2,6.8,309882.4,0.00675,4152.3
MANHATTAN,1-00931-0001,15.0,106.6,3433.3,7.4,463959.5,0.00675,80821.7
BRONX,2-02929-0074,45.0,107.5,470.1,7.9,59506.3,0.00675,18339.9
MANHATTAN,1-01778-0006,17.0,121.5,823.3,7.2,114347.2,0.00675,13790.3
MANHATTAN,1-01165-7503,2.0,155.9,4365.0,9.0,485000.0,0.00675,292455.0
BRONX,2-02858-0001,1.0,157.0,718.7,9.7,74092.8,0.00675,58577.7
BRONX,2-02690-7501,1.0,158.5,694.0,9.0,77111.1,0.00675,46498.0
QUEENS,4-01229-0055,5.0,175.0,525.5,10.0,52550.0,0.00675,45771.0
MANHATTAN,1021220105,36.0,91.7,388.3,6.9,56275.4,0.00675,2262.2
MANHATTAN,1-01864-0036,22.0,124.3,884.1,7.2,122791.7,0.00675,14808.6
MANHATTAN,1-01546-0001,6.0,132.0,2136.0,7.7,277402.6,0.00675,70626.7
BRONX,2-02488-0046,9.0,118.5,380.4,6.8,55941.2,0.00675,749.6
QUEENS,4-01450-0001,13.0,120.5,703.9,6.8,103514.7,0.00675,1387.1
MANHATTAN,1-01502-0052,20.0,101.0,357.7,7.7,46454.5,0.00675,11827.4
BRONX,2-02439-0090,4.0,121.0,528.8,9.1,58109.9,0.00675,36597.6
BRONX,2-02439-0080,30.0,94.3,436.2,7.0,62314.3,0.00675,4175.0
BRONX,2-02439-0001,9.0,112.2,461.2,8.4,54904.8,0.00675,24278.8
BRONX,2032520340,1.0,326.6,6103.1,17.3,352780.3,0.00675,997451.2
BRONX,2032520276,1.0,149.3,1728.2,11.1,155693.7,0.00675,181507.7
MANHATTAN,1022370008,7.0,155.1,842.9,11.2,75258.9,0.00675,89753.8
STATEN IS,5-00327-0015,4.0,155.1,1127.2,8.8,128090.9,0.00675,70373.2
STATEN IS,5-00327-0060,8.0,130.7,956.3,7.5,127506.7,0.00675,25628.8
QUEENS,4012630015,18.0,121.0,724.5,7.0,103500.0,0.00675,6934.5
MANHATTAN,1008890068,16.0,116.8,2672.0,8.6,310697.7,0.00675,154043.9
MANHATTAN,1009130001,50.0,91.9,2423.9,6.9,351289.9,0.00675,14121.8
,1005480070,40.0,102.5,3755.3,7.7,487701.3,0.00675,124168.7
MANHATTAN,1011520013,3.0,148.8,2521.8,8.8,286568.2,0.00675,157440.5
MANHATTAN,1015770027,60.0,90.8,635.7,6.9,92130.4,0.00675,3703.7
