borough,BBL,energy_star_core,EUI,emission_ton,emission_intensity_kg/ft2,square,standard,penalty
MANHATTAN,1-02007-7501,2.0,129.3,209.3,8.2,25524.4,0.00675,9918.8
BRONX,2-03866-0001,16.0,130.6,340.7,7.3,46671.2,0.00675,6879.4
BRONX,2-02876-0087,6.0,151.4,215.1,8.6,25011.6,0.00675,12400.8
MANHATTAN,1-00832-0032,25.0,90.1,419.2,6.8,61647.1,0.00675,826.0
MANHATTAN,1-00474-7505,,108.8,251.3,6.8,36955.9,0.00675,495.2
BRONX,2-02453-0068,1.0,188.8,981.3,10.5,93457.1,0.00675,93924.5
BRONX,2-04124-0012,30.0,96.3,188.8,7.2,26222.2,0.00675,3162.4
MANHATTAN,1-02109-0070,51.0,132.9,283.5,9.9,28636.4,0.00675,24174.8
BRONX,2-03744-0070,18.0,130.8,419.1,9.5,44115.8,0.00675,32513.3
BRONX,2-03776-0040,30.0,121.7,331.2,8.9,37213.5,0.00675,21442.4
BRONX,2-03149-0121,36.0,108.2,327.8,7.9,41493.7,0.00675,12788.3
BRONX,2-03317-0051,26.0,113.7,300.7,8.4,35797.6,0.00675,15829.7
BRONX,2-03158-0022,6.0,156.2,267.0,9.0,29666.7,0.00675,17888.9
MANHATTAN,1-01944-0010,63.0,102.3,259.3,7.6,34118.4,0.00675,7772.2
MANHATTAN,1-02120-0028,19.0,131.3,273.7,9.7,28216.5,0.00675,22308.0
BROOKLYN,3067710031,8.0,143.0,298.3,7.9,37759.5,0.00675,11637.5
MANHATTAN,1-01717-0002,11.0,127.4,263.0,9.5,27684.2,0.00675,20403.3
MANHATTAN,1-02230-0005,31.0,114.7,331.5,6.8,48750.0,0.00675,653.2
MANHATTAN,1-02142-0136,13.0,134.9,469.5,9.9,47424.2,0.00675,40035.6
MANHATTAN,1-02054-0079,39.0,127.1,186.7,7.1,26295.8,0.00675,2466.5
BRONX,2-03221-0017,87.0,114.5,98.8,6.9,14318.8,0.00675,575.7
BRONX,2028410010,14.0,143.6,394.4,10.7,36859.8,0.00675,39019.8
BRONX,2031840005,37.0,118.7,336.6,8.8,38250.0,0.00675,21014.6
BRONX,2031830007,35.0,113.0,326.3,8.4,38845.2,0.00675,17177.4
BRONX,2032070058,63.0,92.9,225.1,6.9,32623.2,0.00675,1311.4
BRONX,2033430170,59.0,92.7,302.7,6.8,44514.7,0.00675,596.5
BROOKLYN,3-05054-0011,1.0,149.4,269.5,8.8,30625.0,0.00675,16825.4
BRONX,2-02624-0084,1.0,248.6,403.8,14.1,28638.3,0.00675,56411.7
BRONX,2-02867-0155,2.0,120.9,323.5,7.2,44930.6,0.00675,5418.5
BROOKLYN,3-07321-0051,3.0,134.4,262.9,7.5,35053.3,0.00675,7045.8
,1-01913-0061,1.0,157.6,331.8,9.4,35297.9,0.00675,25068.5
BRONX,2-03068-0093,1.0,151.0,316.3,8.5,37211.8,0.00675,17452.3
BRONX,2-03172-0032,47.0,123.7,277.1,7.0,39585.7,0.00675,2652.3
BRONX,2-03209-0065,29.0,136.4,329.3,7.6,43328.9,0.00675,9870.4
BRONX,2-02745-0046,43.0,136.0,193.5,7.7,25129.9,0.00675,6398.0
BROOKLYN,3056140019,14.0,127.5,202.4,7.2,28111.1,0.00675,3390.2
BRONX,2027970025,21.0,125.3,284.7,7.1,40098.6,0.00675,3761.2
BRONX,2038010001,9.0,148.4,627.1,8.4,74654.8,0.00675,33012.3
BRONX,2031680011,11.0,127.7,304.6,7.3,41726.0,0.00675,6150.5
BRONX,2031490118,12.0,124.6,221.5,6.9,32101.4,0.00675,1290.6
BROOKLYN,3-05063-0023,16.0,131.4,309.9,7.4,41878.4,0.00675,7295.2
MANHATTAN,1020320013,7.0,148.1,286.1,8.2,34890.2,0.00675,13558.4
BRONX,2-02613-0036,36.0,107.8,221.1,8.0,27637.5,0.00675,9258.6
QUEENS,4015070005,39.0,117.9,192.5,6.8,28308.8,0.00675,379.4
MANHATTAN,1008810047,11.0,112.3,291.8,8.1,36024.7,0.00675,13033.7
BRONX,2025240018,11.0,140.1,173.6,7.8,22256.4,0.00675,6263.0
QUEENS,4-05059-0001,19.0,129.3,254.0,9.5,26736.8,0.00675,19705.1
QUEENS,4-05182-0062,13.0,125.9,195.7,6.9,28362.3,0.00675,1140.2
MANHATTAN,1-00509-0027,68.0,94.8,194.9,6.8,28661.8,0.00675,384.0
BRONX,2-02804-0001,2.0,151.7,433.6,8.7,49839.1,0.00675,26045.9
BROOKLYN,3087150051,37.0,137.0,235.6,7.6,31000.0,0.00675,7061.8
BRONX,2-03195-0016,25.0,110.4,396.4,8.2,48341.5,0.00675,18785.4
BROOKLYN,3-01362-0050,1.0,138.5,359.6,8.4,42809.5,0.00675,18930.4
BRONX,2-03152-0029,45.0,103.6,233.3,7.6,30697.4,0.00675,6992.8
BRONX,2-03206-0022,23.0,116.8,287.3,7.7,37311.7,0.00675,9499.5
BRONX,2027500022,24.0,126.4,597.3,6.8,87838.2,0.00675,1177.1
BRONX,2-03172-0008,8.0,135.6,275.7,10.1,27297.0,0.00675,24507.3
BRONX,2-03197-0009,18.0,105.6,327.9,7.1,46183.1,0.00675,4332.0
BRONX,2030380055,4.0,135.4,304.2,7.6,40026.3,0.00675,9118.0
BRONX,2-03183-0037,35.0,106.4,204.6,7.7,26571.4,0.00675,6765.1
BRONX,2-03182-0019,19.0,118.0,350.0,7.0,50000.0,0.00675,3350.0
BRONX,2-03152-0003,3.0,140.6,240.5,8.2,29329.3,0.00675,11397.3
BRONX,2-02785-0063,55.0,107.1,247.0,7.9,31265.8,0.00675,9636.2
BRONX,2-02535-0026,24.0,101.6,252.7,7.6,33250.0,0.00675,7574.3
BRONX,2-02521-0027,29.0,121.0,342.4,9.0,38044.4,0.00675,22940.9
BRONX,2-02438-0001,12.0,124.9,380.8,9.3,40946.2,0.00675,27982.7
BRONX,2-02785-0016,20.0,126.7,356.1,9.4,37883.0,0.00675,26904.5
BRONX,2-02948-0044,18.0,136.9,209.7,7.7,27233.8,0.00675,6933.7
BRONX,2-03142-0070,18.0,128.0,259.8,9.3,27935.5,0.00675,19091.1
BRONX,2-02478-0058,47.0,98.6,196.6,7.3,26931.5,0.00675,3969.7
BRONX,2-02842-0029,32.0,123.2,303.4,9.2,32978.3,0.00675,21653.5
MANHATTAN,1-00882-0056,55.0,107.1,261.5,8.1,32284.0,0.00675,11680.2
MANHATTAN,1-01873-0010,,124.6,403.9,9.3,43430.1,0.00675,29680.1
MANHATTAN,1-01994-0066,50.0,105.4,233.5,7.9,29557.0,0.00675,9109.4
MANHATTAN,1-02225-0044,19.0,130.2,322.6,8.9,36247.2,0.00675,20885.6
BRONX,2-03195-0051,44.0,108.7,221.2,8.0,27650.0,0.00675,9262.8
BRONX,2-02459-0055,39.0,106.4,217.1,7.9,27481.0,0.00675,8469.7
BRONX,2-02879-0235,21.0,122.4,329.6,6.9,47768.1,0.00675,1920.3
BRONX,2-03253-0001,,146.9,640.0,8.4,76190.5,0.00675,33691.4
BRONX,2-02703-0014,16.0,120.5,215.1,7.0,30728.6,0.00675,2058.8
BRONX,2-02761-0083,15.0,124.8,434.5,7.2,60347.2,0.00675,7277.9
BRONX,2-03199-0034,27.0,129.4,220.5,7.9,27911.4,0.00675,8602.3
BRONX,2-03196-0029,51.0,108.0,420.9,7.9,53278.5,0.00675,16420.4
BRONX,2-03248-0158,48.0,107.6,408.6,7.9,51721.5,0.00675,15940.6
BRONX,2-03350-0040,14.0,118.8,407.1,8.8,46261.4,0.00675,25415.9
BROOKLYN,3-05545-0053,1.0,204.2,397.8,11.3,35203.5,0.00675,42927.3
BRONX,2-02835-0001,11.0,148.3,387.0,8.2,47195.1,0.00675,18340.1
MANHATTAN,1-02046-0025,2.0,197.8,350.3,11.0,31845.5,0.00675,36271.9
BROOKLYN,3-01318-0057,12.0,150.9,320.0,8.5,37647.1,0.00675,17656.4
MANHATTAN,1-00475-0015,,222.1,349.5,14.0,24964.3,0.00675,48505.6
MANHATTAN,1-02236-0027,7.0,139.6,418.1,10.4,40201.9,0.00675,39325.6
BRONX,2-03276-0005,,130.2,703.0,7.5,93733.3,0.00675,18840.5
MANHATTAN,1-00478-7503,,123.9,202.8,8.0,25350.0,0.00675,8492.2
MANHATTAN,1-00696-7503,,118.6,445.2,7.9,56354.4,0.00675,17368.5
BROOKLYN,3074650052,10.0,113.9,808.3,8.6,93988.4,0.00675,46599.4
MANHATTAN,1-01891-0055,39.0,111.1,250.1,8.1,30876.5,0.00675,11171.2
BROOKLYN,3043220016,5.0,96.4,242.4,7.2,33666.7,0.00675,4060.1
QUEENS,4031480035,9.0,120.7,256.8,7.1,36169.0,0.00675,3392.7
